vigencia,nombre_comuna_o_corregimiento,rango_edades,genero_masculino,genero_femenino,poblacion_estimada_global
2020,COMUNA 1,00-04,796,790,1586
2020,COMUNA 1,05-09,801,778,1579
2020,COMUNA 1,10-14,830,803,1633
2020,COMUNA 1,15-19,917,916,1833
2020,COMUNA 1,20-24,989,1039,2028
2020,COMUNA 1,25-29,986,1103,2089
2020,COMUNA 1,30-34,919,1047,1966
2020,COMUNA 1,35-39,907,1026,1933
2020,COMUNA 1,40-44,813,924,1737
2020,COMUNA 1,45-49,724,852,1576
2020,COMUNA 1,50-54,720,898,1618
2020,COMUNA 1,55-59,672,878,1550
2020,COMUNA 1,60-64,588,784,1372
2020,COMUNA 1,65-69,462,628,1090
2020,COMUNA 1,70-74,334,465,799
2020,COMUNA 1,75-79,219,313,532
2020,COMUNA 1,80-84,127,187,314
2020,COMUNA 1,85-89,67,104,171
2020,COMUNA 1,90-94,33,51,84
2020,COMUNA 1,95-99,14,18,32
2020,COMUNA 1,100 o mas,5,5,10
2020,COMUNA 2,00-04,1226,1216,2442
2020,COMUNA 2,05-09,1234,1197,2431
2020,COMUNA 2,10-14,1277,1237,2514
2020,COMUNA 2,15-19,1412,1409,2821
2020,COMUNA 2,20-24,1522,1599,3121
2020,COMUNA 2,25-29,1517,1698,3215
2020,COMUNA 2,30-34,1415,1611,3026
2020,COMUNA 2,35-39,1397,1578,2975
2020,COMUNA 2,40-44,1252,1421,2673
2020,COMUNA 2,45-49,1115,1311,2426
2020,COMUNA 2,50-54,1108,1383,2491
2020,COMUNA 2,55-59,1034,1351,2385
2020,COMUNA 2,60-64,905,1207,2112
2020,COMUNA 2,65-69,712,966,1678
2020,COMUNA 2,70-74,514,716,1230
2020,COMUNA 2,75-79,337,483,820
2020,COMUNA 2,80-84,196,289,485
2020,COMUNA 2,85-89,102,161,263
2020,COMUNA 2,90-94,50,78,128
2020,COMUNA 2,95-99,22,27,49
2020,COMUNA 2,100 o mas,8,8,16
2020,COMUNA 3,00-04,556,552,1108
2020,COMUNA 3,05-09,560,543,1103
2020,COMUNA 3,10-14,580,561,1141
2020,COMUNA 3,15-19,641,639,1280
2020,COMUNA 3,20-24,690,726,1416
2020,COMUNA 3,25-29,688,771,1459
2020,COMUNA 3,30-34,642,731,1373
2020,COMUNA 3,35-39,634,716,1350
2020,COMUNA 3,40-44,568,645,1213
2020,COMUNA 3,45-49,506,595,1101
2020,COMUNA 3,50-54,503,627,1130
2020,COMUNA 3,55-59,469,613,1082
2020,COMUNA 3,60-64,412,548,960
2020,COMUNA 3,65-69,323,438,761
2020,COMUNA 3,70-74,233,325,558
2020,COMUNA 3,75-79,153,219,372
2020,COMUNA 3,80-84,89,131,220
2020,COMUNA 3,85-89,46,73,119
2020,COMUNA 3,90-94,23,35,58
2020,COMUNA 3,95-99,10,12,22
2020,COMUNA 3,100 o mas,4,3,7
2020,COMUNA 4,00-04,327,324,651
2020,COMUNA 4,05-09,329,319,648
2020,COMUNA 4,10-14,340,330,670
2020,COMUNA 4,15-19,376,376,752
2020,COMUNA 4,20-24,406,426,832
2020,COMUNA 4,25-29,404,453,857
2020,COMUNA 4,30-34,377,430,807
2020,COMUNA 4,35-39,372,421,793
2020,COMUNA 4,40-44,334,379,713
2020,COMUNA 4,45-49,297,348,645
2020,COMUNA 4,50-54,295,369,664
2020,COMUNA 4,55-59,276,360,636
2020,COMUNA 4,60-64,241,322,563
2020,COMUNA 4,65-69,190,257,447
2020,COMUNA 4,70-74,137,191,328
2020,COMUNA 4,75-79,90,129,219
2020,COMUNA 4,80-84,52,77,129
2020,COMUNA 4,85-89,27,43,70
2020,COMUNA 4,90-94,13,21,34
2020,COMUNA 4,95-99,6,7,13
2020,COMUNA 4,100 o mas,2,2,4
2020,COMUNA 5,00-04,409,405,814
2020,COMUNA 5,05-09,411,399,810
2020,COMUNA 5,10-14,426,412,838
2020,COMUNA 5,15-19,471,470,941
2020,COMUNA 5,20-24,507,533,1040
2020,COMUNA 5,25-29,506,566,1072
2020,COMUNA 5,30-34,472,537,1009
2020,COMUNA 5,35-39,466,526,992
2020,COMUNA 5,40-44,417,474,891
2020,COMUNA 5,45-49,372,437,809
2020,COMUNA 5,50-54,369,462,831
2020,COMUNA 5,55-59,345,450,795
2020,COMUNA 5,60-64,302,402,704
2020,COMUNA 5,65-69,237,322,559
2020,COMUNA 5,70-74,171,239,410
2020,COMUNA 5,75-79,112,161,273
2020,COMUNA 5,80-84,65,96,161
2020,COMUNA 5,85-89,34,54,88
2020,COMUNA 5,90-94,17,26,43
2020,COMUNA 5,95-99,7,9,16
2020,COMUNA 5,100 o mas,3,2,5
2020,COMUNA 6,00-04,341,338,679
2020,COMUNA 6,05-09,343,333,676
2020,COMUNA 6,10-14,355,344,699
2020,COMUNA 6,15-19,393,392,785
2020,COMUNA 6,20-24,423,445,868
2020,COMUNA 6,25-29,422,473,895
2020,COMUNA 6,30-34,394,448,842
2020,COMUNA 6,35-39,389,439,828
2020,COMUNA 6,40-44,348,396,744
2020,COMUNA 6,45-49,310,365,675
2020,COMUNA 6,50-54,308,385,693
2020,COMUNA 6,55-59,288,376,664
2020,COMUNA 6,60-64,252,336,588
2020,COMUNA 6,65-69,198,269,467
2020,COMUNA 6,70-74,143,199,342
2020,COMUNA 6,75-79,94,134,228
2020,COMUNA 6,80-84,54,81,135
2020,COMUNA 6,85-89,29,44,73
2020,COMUNA 6,90-94,14,22,36
2020,COMUNA 6,95-99,6,8,14
2020,COMUNA 6,100 o mas,2,2,4
2020,COMUNA 7,00-04,378,374,752
2020,COMUNA 7,05-09,380,369,749
2020,COMUNA 7,10-14,394,381,775
2020,COMUNA 7,15-19,435,434,869
2020,COMUNA 7,20-24,469,493,962
2020,COMUNA 7,25-29,468,523,991
2020,COMUNA 7,30-34,436,496,932
2020,COMUNA 7,35-39,430,487,917
2020,COMUNA 7,40-44,386,438,824
2020,COMUNA 7,45-49,344,404,748
2020,COMUNA 7,50-54,341,427,768
2020,COMUNA 7,55-59,319,416,735
2020,COMUNA 7,60-64,279,372,651
2020,COMUNA 7,65-69,219,298,517
2020,COMUNA 7,70-74,158,221,379
2020,COMUNA 7,75-79,104,149,253
2020,COMUNA 7,80-84,60,89,149
2020,COMUNA 7,85-89,32,49,81
2020,COMUNA 7,90-94,16,24,40
2020,COMUNA 7,95-99,7,8,15
2020,COMUNA 7,100 o mas,3,3,6
2020,COMUNA 8,00-04,389,387,776
2020,COMUNA 8,05-09,392,381,773
2020,COMUNA 8,10-14,406,393,799
2020,COMUNA 8,15-19,449,448,897
2020,COMUNA 8,20-24,484,509,993
2020,COMUNA 8,25-29,483,539,1022
2020,COMUNA 8,30-34,450,512,962
2020,COMUNA 8,35-39,444,502,946
2020,COMUNA 8,40-44,398,452,850
2020,COMUNA 8,45-49,355,417,772
2020,COMUNA 8,50-54,352,440,792
2020,COMUNA 8,55-59,329,430,759
2020,COMUNA 8,60-64,288,384,672
2020,COMUNA 8,65-69,226,308,534
2020,COMUNA 8,70-74,164,227,391
2020,COMUNA 8,75-79,107,154,261
2020,COMUNA 8,80-84,62,92,154
2020,COMUNA 8,85-89,33,51,84
2020,COMUNA 8,90-94,16,25,41
2020,COMUNA 8,95-99,7,9,16
2020,COMUNA 8,100 o mas,3,2,5
2020,COMUNA 9,00-04,635,629,1264
2020,COMUNA 9,05-09,639,619,1258
